Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
60,1,456,592,4.8197224362268,41,1,1
60,2,689,376,4.888196601125011,16,1,1
60,3,566,421,4.95,32,1,1
60,4,536,399,4.793844718719117,32,1,1
60,5,564,537,4.95,58,1,1
60,6,479,463,4.858578643762691,49,1,2
60,7,596,668,4.717157287525381,21,1,2
60,8,319,577,4.95,16,1,2
60,9,621,262,4.395847701320271,7,1,2
60,10,599,714,4.793844718719117,14,1,2
60,11,342,518,4.929289321881345,22,1,2
60,12,315,424,4.888196601125011,15,1,2
60,13,505,566,4.888196601125011,59,1,2
60,14,548,613,4.888196601125011,51,1,2
60,15,509,588,4.929289321881345,57,1,2
60,16,436,569,4.95,40,1,2
60,17,477,501,4.888196601125011,56,1,2
60,18,533,356,4.888196601125011,21,1,2
60,19,546,604,5.0,53,1,2
60,20,324,552,4.793844718719117,19,1,2
60,21,571,638,4.929289321881345,34,1,2
60,22,495,453,4.888196601125011,47,1,2
60,23,555,435,4.787867965644035,42,1,2
60,24,322,696,4.679843788128358,7,1,2
60,25,616,385,4.929289321881345,27,1,2
60,26,784,512,4.236783123876313,7,1,2
60,27,463,593,4.95,44,1,2
60,28,546,416,5.0,37,1,2
60,29,481,566,4.841886116991581,55,1,2
60,30,507,576,4.841886116991581,58,1,2
60,31,439,646,4.95,29,1,3
60,32,307,546,4.841886116991581,19,1,3
60,33,469,469,4.841886116991581,53,1,3
60,34,277,295,4.46148351928655,1,1,3
60,35,393,558,4.841886116991581,35,1,3
60,36,578,551,4.95,54,1,3
60,37,393,471,5.0,34,1,3
60,38,528,425,4.95,41,1,3
60,39,512,485,5.0,58,1,3
60,40,661,302,4.5,11,1,3
60,41,604,320,4.776393202250022,18,1,3
60,42,613,575,4.95,42,1,3
60,43,512,517,4.95,69,1,3
60,44,712,496,4.8197224362268,15,1,3
60,45,410,548,4.9,38,1,3
60,46,679,340,4.8197224362268,14,1,3
60,47,444,394,4.929289321881345,28,1,3
60,48,509,567,4.95,58,1,3
60,49,567,399,4.85,27,1,3
60,50,608,385,4.745049024320361,28,1,3

