Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
40,1,518,651,4.679843788128358,27,1,1
40,2,497,649,4.888196601125011,24,1,1
40,3,584,538,4.95,34,1,1
40,4,493,832,3.5133931252681494,3,1,1
40,5,473,477,4.888196601125011,42,1,1
40,6,587,502,4.888196601125011,28,1,2
40,7,528,377,4.858578643762691,30,1,2
40,8,483,379,4.929289321881345,33,1,2
40,9,462,678,4.95,22,1,2
40,10,456,371,4.888196601125011,28,1,2
40,11,478,733,4.929289321881345,11,1,2
40,12,366,564,4.793844718719117,34,1,2
40,13,480,560,4.95,41,1,2
40,14,727,575,4.841886116991581,13,1,2
40,15,382,518,4.9,41,1,2
40,16,356,642,4.95,25,1,2
40,17,316,346,4.664589803375032,14,1,2
40,18,409,419,4.888196601125011,38,1,2
40,19,441,459,4.85,51,1,2
40,20,694,687,4.730741759643275,11,1,2
40,21,552,513,5.0,36,1,2
40,22,345,627,4.929289321881345,28,1,2
40,23,548,835,0.0,2,0,2
40,24,449,191,0.0,2,0,2
40,25,307,534,4.85,26,1,2
40,26,616,516,4.929289321881345,24,1,2
40,27,315,574,4.646446609406726,27,1,2
40,28,345,400,4.776393202250022,24,1,2
40,29,691,325,4.587689437438234,7,1,2
40,30,664,540,4.888196601125011,20,1,2
40,31,357,481,4.95,36,1,3
40,32,263,526,4.54723074309313,13,1,3
40,33,385,585,4.9,38,1,3
40,34,603,556,4.787867965644035,31,1,3
40,35,326,556,4.929289321881345,31,1,3
40,36,674,649,4.888196601125011,18,1,3
40,37,357,496,4.776393202250022,38,1,3
40,38,573,349,4.888196601125011,22,1,3
40,39,497,376,4.95,30,1,3
40,40,722,647,4.75,10,1,3
40,41,376,694,4.745049024320361,19,1,3
40,42,314,389,4.776393202250022,22,1,3
40,43,467,481,4.85,45,1,3
40,44,431,301,4.708452405257734,13,1,3
40,45,495,372,4.8,30,1,3
40,46,382,711,4.787867965644035,17,1,3
40,47,575,605,4.85,29,1,3
40,48,621,389,4.9,17,1,3
40,49,448,515,4.929289321881345,45,1,3
40,50,572,264,4.9,9,1,3

