Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
20,1,558,417,4.95,42,1,1
20,2,538,711,4.55,14,1,1
20,3,541,346,4.776393202250022,30,1,1
20,4,510,499,4.8197224362268,45,1,1
20,5,614,580,4.793844718719117,26,1,1
20,6,489,691,4.664589803375032,13,1,2
20,7,586,467,4.841886116991581,39,1,2
20,8,465,386,4.888196601125011,29,1,2
20,9,439,526,4.888196601125011,43,1,2
20,10,646,604,4.55,25,1,2
20,11,468,517,4.8197224362268,42,1,2
20,12,397,614,4.85,27,1,2
20,13,459,473,4.639444872453601,44,1,2
20,14,609,425,4.841886116991581,30,1,2
20,15,552,649,4.3423526781017046,23,1,2
20,16,660,355,4.4409830056250525,14,1,2
20,17,523,877,0.0,0,0,2
20,18,316,427,4.507557109910195,14,1,2
20,19,678,549,4.85,27,1,2
20,20,547,401,4.75,42,1,2
20,21,746,507,4.1499999999999995,16,1,2
20,22,553,525,4.683772233983162,41,1,2
20,23,418,525,4.776393202250022,42,1,2
20,24,569,387,4.841886116991581,38,1,2
20,25,696,625,4.646446609406726,18,1,2
20,26,282,517,4.429912287450431,19,1,2
20,27,641,350,4.858578643762691,15,1,2
20,28,513,550,4.75,41,1,2
20,29,414,507,4.9,39,1,2
20,30,446,570,4.841886116991581,42,1,2
20,31,450,321,4.708452405257734,19,1,3
20,32,363,755,0.0,1,0,3
20,33,769,331,0.0,3,0,3
20,34,522,685,4.539022777135356,18,1,3
20,35,363,600,4.95,25,1,3
20,36,448,358,5.0,22,1,3
20,37,381,493,4.8197224362268,32,1,3
20,38,619,531,4.841886116991581,35,1,3
20,39,364,564,4.95,34,1,3
20,40,685,472,4.888196601125011,22,1,3
20,41,412,516,4.841886116991581,41,1,3
20,42,643,485,4.75,30,1,3
20,43,516,630,4.776393202250022,29,1,3
20,44,244,658,2.9887814638881234,4,1,3
20,45,437,509,5.0,40,1,3
20,46,549,694,4.569883736647869,14,1,3
20,47,595,423,4.85,35,1,3
20,48,518,389,4.708452405257734,38,1,3
20,49,742,509,4.2094305849579055,17,1,3
20,50,315,538,5.0,21,1,3

