Iteration,Cheesecake,Profiterole,Mucake
1,0,16,14
2,0,18,15
3,0,18,15
4,0,18,15
5,0,18,15
6,0,18,15
7,0,19,15
8,0,19,15
9,0,20,16
10,0,20,17
11,0,20,17
12,0,21,17
13,0,21,17
14,0,22,17
15,0,22,17
16,0,22,17
17,0,22,17
18,0,22,17
19,0,22,17
20,0,22,17
21,0,22,17
22,0,22,17
23,0,22,17
24,0,22,17
25,0,22,17
26,0,22,17
27,0,22,17
28,0,23,17
29,0,23,17
30,0,23,17
31,0,23,17
32,0,23,17
33,0,23,17
34,0,23,18
35,0,23,18
36,0,23,18
37,0,23,18
38,0,23,18
39,0,23,18
40,0,23,18
41,0,23,18
42,0,23,18
43,0,23,18
44,0,23,18
45,0,23,18
46,0,23,18
47,0,23,18
48,0,23,18
49,0,23,18
50,0,23,18
51,0,23,18
52,0,23,18
53,0,23,18
54,0,23,18
55,0,23,18
56,0,23,18
57,0,23,18
58,0,23,18
59,0,23,18
60,0,23,18
61,0,23,18
62,0,23,18
63,0,23,18
64,0,23,18
65,0,23,18
66,0,23,18
67,0,23,18
68,0,23,18
69,0,23,18
70,0,23,18
71,0,23,18
72,0,23,18
73,0,23,18
74,0,23,18
75,0,23,18
76,0,23,18
77,0,23,18
78,0,23,18
79,0,23,18
80,0,23,18
81,0,23,18
82,0,23,18
83,0,23,18
84,0,23,18
85,0,23,18
86,0,23,18
87,0,23,18
88,0,23,18
89,0,23,18
90,0,23,18
91,0,23,18
92,0,23,18
93,0,23,18
94,0,23,18
95,0,23,18
96,0,23,18
97,0,23,18
98,0,23,18
99,0,23,18
100,0,23,18
